,uar,war,macroF1,microF1,logf0,mcd,path
13579335,0.40833336,0.40833333,0.35860443,0.4844167354550039,0.3282 ± 0.1644,5.1135 ± 0.5335,ESD_spkr/hubert_nclus_1024_alpha_1_down_sample_035_layer_2/g_00050000
13579339,0.30999997,0.31,0.26423764,0.34713133315748335,0.4584 ± 0.2417,7.0327 ± 1.1096,ESD_spkr/hubert_nclus_1024_alpha_1_down_sample_035_layer_6/g_00050000
13562923,0.21333332,0.21333334,0.16971135,0.2094293343355497,nan ± nan,12.0601 ± 2.0636,ESD_spkr/hubert_nclus_1024_alpha1_down_sample_035_layer_12/g_00050000
13579325,0.60833335,0.60833335,0.59013665,0.6595730862393823,0.3225 ± 0.1486,5.2913 ± 0.6209,ESD_spkr/hubert_nclus_1024_alpha_05_down_sample_035_layer_2/g_00050000
13579329,0.61499995,0.615,0.5903811,0.6505604349759404,0.3483 ± 0.1905,6.3173 ± 0.8497,ESD_spkr/hubert_nclus_1024_alpha_05_down_sample_035_layer_6/g_00050000
13562922,0.3733333,0.37333333,0.33773074,0.41573127544505956,0.7026 ± 0.3903,10.7738 ± 2.6694,ESD_spkr/hubert_nclus_1024_alpha0.5_down_sample_035_layer_12/g_00050000
13562924,0.41500002,0.415,0.39161056,0.435181781362157,nan ± nan,10.6242 ± 2.4374,ESD_spkr/hubert_nclus_2048_alpha0.5_down_sample_035_layer_12/g_00050000
13562920,0.39166665,0.39166668,0.37980455,0.41856915276052736,0.9942 ± 0.4503,12.5785 ± 3.3730,ESD_spkr/hubert_nclus_100_alpha0.5_down_sample_035_layer_12/g_00050000
13565748,0.19166666,0.19166666,0.16661339,0.18465326176541808,nan ± nan,13.5711 ± 2.3912,ESD_spkr/hubert_nclus_100_alpha1_down_sample_035_layer_12/g_00050000
13577733,0.21833333,0.21833333,0.17089346,0.202253093678978,nan ± nan,12.3031 ± 2.2539,emvESD/hubert_nclus_1024_alpha1_down_sample_035_layer_12ev1/g_00050000
13577732,0.26333332,0.26333332,0.235638,0.2687267629038651,nan ± nan,12.2841 ± 2.1963,emvESD/hubert_nclus_1024_alpha1_down_sample_035_layer_12ev05/g_00050000 
13577730,0.45,0.45,0.43305716,0.47602026996128494,0.7419 ± 0.4295,10.9729 ± 2.6820,emvESD/hubert_nclus_1024_alpha0.5_down_sample_035_layer_12/g_00050000
gt,0.93,0.93,0.9298862,0.9300883328523456,,,
